"id_parcel","surf_parc","code_cultu","source","id","type"
"3466609",0.06,"VRC","IGN","commune.12947","vineyard"
"3496095",4.54,"ORH","IGN","commune.13061","barley"
"3496089",0.59,"SPL","IGN","commune.13061","SPL"
"3495698",16.83,"SPL","IGN","commune.13061","SPL"
"10124215",2.18,"RVI","IGN","commune.12923","semiperennial"
"3444561",0.25,"VRC","IGN","commune.12923","vineyard"
"10124214",1.15,"VRC","IGN","commune.12923","vineyard"
"3493500",0.25,"VRC","IGN","commune.12941","vineyard"
"3544196",0.52,"VRC","IGN","commune.13129","vineyard"
"3456688",0.2,"VRC","IGN","commune.13187","vineyard"
"3468229",0.49,"VRC","IGN","commune.13144","vineyard"
"12301730",0.21,"VRC","IGN","commune.13144","vineyard"
"3456518",3.41,"VRC","IGN","commune.13150","vineyard"
"3456518",3.41,"VRC","IGN","commune.13187","vineyard"
"3456612",0.14,"OLI","IGN","commune.13187","olivetree"
"3456607",0.03,"OLI","IGN","commune.13041","olivetree"
"3442462",0.32,"VRC","IGN","commune.13154","vineyard"
"3442348",2.97,"VRC","IGN","commune.13120","vineyard"
"3487905",1.12,"VRC","IGN","commune.13251","vineyard"
"3550395",0.38,"VRC","IGN","commune.12947","vineyard"
"3471385",0.28,"PTR","IGN","commune.12947","semiperennial"
"3471377",0.18,"PPH","IGN","commune.13146","perennial"
"3492768",0.75,"BDH","IGN","commune.13041","wheat"
"3475073",1.91,"TTH","IGN","commune.12999","othercereal"
"3512253",0.58,"VRC","IGN","commune.13178","vineyard"
"3501619",1.26,"VRC","IGN","commune.13178","vineyard"
"3521193",2.15,"VRC","IGN","commune.13178","vineyard"
"3489915",4.73,"BOP","IGN","commune.13061","notirrigated"
"3544711",0.11,"VRC","IGN","commune.12947","vineyard"
"3456476",0.58,"VRC","IGN","commune.13150","vineyard"
"12300337",0.74,"VRC","IGN","commune.13012","vineyard"
"10140245",0.26,"PPH","IGN","commune.13230","perennial"
"3438768",0.29,"OLI","IGN","commune.13264","olivetree"
"3438767",0.32,"VRC","IGN","commune.13264","vineyard"
"3486713",0.23,"VRC","IGN","commune.13052","vineyard"
"3486711",0.51,"VRC","IGN","commune.13052","vineyard"
"3486720",0.53,"VRC","IGN","commune.13150","vineyard"
"3486709",0.71,"VRC","IGN","commune.13041","vineyard"
"10139576",3.94,"SPL","IGN","commune.13013","SPL"
"12313837",0.03,"J5M","IGN","commune.13139","semiperennial"
"12300486",1.4,"VRC","IGN","commune.13139","vineyard"
"3509613",1.23,"VRC","IGN","commune.13154","vineyard"
"3452826",0.53,"PPH","IGN","commune.13253","perennial"
"3434266",29.18,"SPH","IGN","commune.13305","perennial"
"3452962",0.03,"SPL","IGN","commune.13234","SPL"
"3434274",0.6,"SPH","IGN","commune.13305","perennial"
"3452643",0.44,"SPL","IGN","commune.13234","SPL"
"3452647",0.67,"PPH","IGN","commune.13067","perennial"
"12307959",0.63,"VRC","IGN","commune.12920","vineyard"
"3494700",0.64,"VRC","IGN","commune.13003","vineyard"
